"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2018 PN22)","3","27.5","5.5 - 25","3","3.892, 362","11.195, 34","5728330","2019-07 [23.0]","2019-08 [17]","none","bK18P22N"
"(2019 GM1)","1","27.4","5.7 - 25","6","4.491, 362","11.985, 66","5320069","2020-03 [23.3]","2020-04 [240]","none","bK19G01M"
"(2019 GF1)","5","27.6","5.3 - 24","4","4.041, 386","11.456, 26","4256557","2020-04 [23.8]","none","none","bK19G01F"
"(2000 SG344)","16","24.7","20 - 89","3","3.550, 370","11.580, 34","3302718","2028-04 [19.1]","2028-05 [3.e3]","2028-05 [58]","bK00SY4G"
"469219 Kamo`oalewa (2016 HO3)","25","24.3","24 - 107","0","6.114, 362","11.955, 154","3181706","2019-12 [22.2]","none","none","a0469219"
"(2018 PK21)","18","25.9","11 - 51","4","4.181, 378","11.543, 50","2848975","2019-08 [20.9]","2019-10 [14]","none","bK18P21K"
"(1991 VG)","11","28.3","3.8 - 17","0","4.132, 362","11.972, 58","2748353","2039-05 [22.5]","none","none","bJ91V00G"
"(2018 AV2)","20","28.7","3.2 - 14","4","3.905, 450","11.702, 26","2714570","2037-06 [22.3]","none","none","bK18A02V"
"(2019 HM)","3","25.8","12 - 53","2","3.933, 362","11.587, 42","2438218","2019-08 [22.8]","2019-10 [27]","2020-04 [32]","bK19H00M"
"(2019 DJ1)","12","26.7","7.8 - 35","1","4.186, 362","11.614, 50","2413156","2020-01 [22.9]","none","none","bK19D01J"
"478784 (2012 UV136)","38","25.5","14 - 62","0","4.659, 394","11.981, 66","2112753","2019-07 [22.9]","2020-05 [570]","2020-05 [22]","a0478784"
"(2017 HU49)","13","26.5","8.7 - 39","4","4.473, 186","11.525, 26","2050897","none","none","none","bK17H49U"
"(2016 GK135)","6","28.1","4.2 - 19","5","4.750, 362","11.429, 42","2030398","none","none","none","bK16GD5K"
"(2015 KE)","19","26.2","10 - 45","3","4.296, 346","10.964, 34","1925634","2040-05 [21.3]","none","none","bK15K00E"
"(2015 XZ378)","7","27.2","6.3 - 28","5","4.425, 386","11.708, 42","1921415","none","none","none","bK15Xb8Z"
"(2014 WU200)","14","29.1","2.6 - 12","3","4.206, 370","11.479, 50","1905056","2040-06 [23.5]","none","none","bK14WK0U"
"(2017 FT102)","10","29.5","2.2 - 10","3","3.928, 370","11.861, 26","1899733","none","none","none","bK17FA2T"
"(2016 WQ3)","8","28.8","3.0 - 14","2","4.052, 354","11.557, 34","1896862","none","none","none","bK16W03Q"
"(2014 UR)","25","26.6","8.3 - 37","0","4.544, 362","11.732, 50","1850191","none","none","none","bK14U00R"
"(2018 PU23)","2","28.1","4.2 - 19","6","4.162, 434","11.084, 34","1844273","none","none","none","bK18P23U"
"(2016 NP56)","4","26.2","10 - 44","9","4.271, 370","11.763, 42","1798428","none","none","none","bK16N56P"
